Epoch,Train_Loss,Train_MAE_km,Train_Acc_%,Val_Loss,Val_MAE_km,Val_Acc_%,Time_sec
1,0.4178,9.74,33.60,0.3979,9.50,32.83,112.5
2,0.4106,9.63,33.84,0.3902,9.44,31.95,99.0
3,0.4056,9.57,33.79,0.3902,9.44,31.95,99.2
4,0.3979,9.46,33.89,0.3679,9.02,35.33,99.2
5,0.3927,9.37,34.64,0.3530,8.81,35.61,99.3
6,0.3871,9.29,34.71,0.3419,8.62,36.49,99.3
7,0.3851,9.26,34.61,0.3371,8.47,38.60,99.2
8,0.3793,9.19,35.10,0.3252,8.32,38.88,99.2
9,0.3778,9.15,35.22,0.3300,8.36,39.92,99.2
10,0.3749,9.11,35.24,0.3285,8.43,36.80,99.2
11,0.3729,9.07,36.02,0.3373,8.51,38.18,99.2
12,0.3690,9.02,35.65,0.3094,8.10,39.50,99.2
13,0.3669,8.99,35.77,0.3261,8.33,38.51,99.2
14,0.3644,8.95,36.19,0.2996,7.89,41.47,99.2
15,0.3612,8.90,36.47,0.3025,7.98,39.89,99.1
16,0.3590,8.86,36.15,0.3017,8.00,39.41,99.1
17,0.3556,8.82,36.45,0.2911,7.75,42.23,99.1
18,0.3557,8.83,36.28,0.2846,7.76,40.17,99.1
19,0.3484,8.71,36.49,0.2698,7.36,44.79,99.1
20,0.3452,8.64,37.34,0.2744,7.66,39.13,99.1
21,0.3445,8.63,37.50,0.3211,8.42,35.25,99.3
22,0.3416,8.57,37.79,0.2789,7.48,44.90,99.1
23,0.3365,8.52,37.43,0.2465,7.03,45.78,99.0
24,0.3369,8.51,37.78,0.2461,7.13,43.69,99.0
25,0.3341,8.46,38.28,0.3053,8.16,37.19,99.1
26,0.3268,8.36,38.70,0.2299,6.73,48.17,99.1
27,0.3293,8.40,38.20,0.2571,7.25,43.98,99.0
28,0.3280,8.36,38.78,0.2229,6.60,48.87,99.1
29,0.3246,8.32,39.09,0.2389,6.80,48.87,99.0
30,0.3258,8.35,38.62,0.2254,6.72,46.73,99.0
