Epoch,Train_Loss,Train_Pos_Err_km,Train_Alt_Err_km,Train_Acc_%,Val_Loss,Val_Pos_Err_km,Val_Alt_Err_km,Val_Acc_%,Time_Sec
1,0.5497,2078.0499,9.8161,0.00,0.4521,1981.5106,9.5756,0.00,1044.91
2,0.4091,1856.1655,9.6085,0.00,0.3471,1609.3703,9.5908,0.00,1037.68
3,0.3636,1729.0712,9.5619,0.00,0.2960,1378.6677,9.2841,0.00,1039.69
4,0.3420,1630.2330,9.3912,0.00,0.2924,1367.6235,9.0493,0.00,1039.34
5,0.3271,1556.5056,9.1608,0.00,0.2713,1260.4194,8.7320,0.00,1038.05
6,0.3143,1492.2796,8.9179,0.00,0.2627,1229.6137,8.1113,0.00,1037.35
7,0.3052,1450.9803,8.5445,0.00,0.2436,1141.7627,7.4286,0.00,1037.71
8,0.2954,1405.9239,8.1936,0.00,0.2516,1193.3751,7.0614,0.00,1036.75
9,0.2845,1354.2868,7.8757,0.00,0.2385,1141.2125,6.2831,0.00,1037.11
10,0.2793,1329.8948,7.7197,0.00,0.2381,1139.7828,6.3044,0.00,1037.99
11,0.2695,1282.2413,7.5048,0.00,0.2256,1080.0248,5.9533,0.00,1037.69
12,0.2629,1250.1667,7.3223,0.00,0.2282,1102.5828,5.5993,0.00,1037.76
13,0.2529,1199.2169,7.1893,0.00,0.2200,1061.5897,5.4767,0.00,1036.65
14,0.2499,1184.6436,7.1144,0.00,0.2300,1117.9567,5.3725,0.00,1036.33
15,0.2439,1154.8798,6.9931,0.00,0.2167,1052.5828,5.1048,0.00,1036.81
16,0.2358,1111.4483,6.9744,0.00,0.2257,1079.0600,6.0538,0.00,1036.09
17,0.2294,1081.0347,6.7826,0.00,0.2308,1106.5893,6.0286,0.00,1035.94
18,0.2236,1051.2609,6.7021,0.00,0.2080,1011.3567,4.8350,0.00,1035.84
19,0.2158,1010.5339,6.6300,0.00,0.2073,998.0098,5.2369,0.00,1035.87
20,0.2123,994.1661,6.5260,0.00,0.2190,1063.4632,5.1598,0.00,1037.23
21,0.2046,952.5272,6.5050,0.00,0.2202,1056.0548,5.7356,0.00,1037.01
22,0.1998,930.4336,6.3374,0.00,0.1965,949.3605,4.8080,0.00,1038.43
23,0.1935,895.8429,6.3360,0.00,0.2004,966.4769,4.9578,0.00,1037.06
24,0.1900,878.7146,6.2653,0.00,0.2106,1026.0642,4.7924,0.00,1038.16
25,0.1868,861.4243,6.2590,0.00,0.1955,950.1619,4.5478,0.00,1038.49
26,0.1853,854.1718,6.2006,0.00,0.2241,1094.7254,5.0529,0.00,1038.49
27,0.1797,826.0659,6.1175,0.00,0.1969,958.6316,4.5327,0.00,1039.59
28,0.1769,811.0146,6.1074,0.00,0.2024,985.1966,4.6662,0.00,1039.49
29,0.1702,777.1225,5.9814,0.00,0.2149,1036.9243,5.3734,0.00,1039.21
30,0.1690,773.4722,5.8761,0.00,0.1958,953.1525,4.5000,0.00,1039.35
31,0.1641,747.1958,5.8460,0.00,0.2100,1031.2815,4.4779,0.00,1039.31
32,0.1522,688.4769,5.6028,0.00,0.1970,956.6838,4.6291,0.00,1039.14
33,0.1446,649.2615,5.4885,0.00,0.2027,994.8544,4.3270,0.00,1039.10
34,0.1432,642.6561,5.4452,0.00,0.1943,940.4266,4.7041,0.00,1038.81
35,0.1395,622.7113,5.4365,0.00,0.1902,930.2328,4.1585,0.00,1038.71
36,0.1360,604.9961,5.3806,0.00,0.1910,930.0708,4.3501,0.00,1038.95
37,0.1323,587.7459,5.2595,0.00,0.1855,903.0395,4.2205,0.00,1038.78
38,0.1307,577.7543,5.3038,0.00,0.1838,891.5714,4.3316,0.00,1038.88
39,0.1277,564.0087,5.2100,0.01,0.1879,897.4963,5.0368,0.00,1038.88
40,0.1257,552.9407,5.2103,0.00,0.1894,921.1810,4.3783,0.00,1037.78
41,0.1231,540.4139,5.1431,0.00,0.1955,949.9479,4.5634,0.00,1037.66
42,0.1200,524.4409,5.0965,0.00,0.1956,955.2300,4.3544,0.00,1035.46
43,0.1191,519.2208,5.1062,0.00,0.1889,915.4825,4.4640,0.00,1035.54
44,0.1170,510.4530,4.9898,0.00,0.2014,984.2561,4.4807,0.00,1036.99
45,0.1089,467.1151,4.9634,0.00,0.1911,914.5154,5.0535,0.00,1037.38
