Epoch,Train_Loss,Train_MAE_km,Train_Acc_%,Val_Loss,Val_MAE_km,Val_Acc_%,Time_sec
1,0.0832,9.99,32.75,0.0761,9.13,34.44,365.2
2,0.0810,9.72,33.71,0.0847,10.16,32.94,250.1
3,0.0798,9.58,34.12,0.0968,11.61,28.23,291.4
4,0.0790,9.48,34.24,0.0825,9.90,32.71,257.0
5,0.0774,9.29,34.96,0.0796,9.56,33.50,260.7
6,0.0771,9.25,34.76,0.0743,8.92,34.33,265.7
7,0.0764,9.17,34.98,0.0726,8.71,35.26,260.4
8,0.0762,9.15,35.39,0.0766,9.19,33.50,257.9
9,0.0758,9.10,35.51,0.0755,9.06,35.80,260.8
10,0.0758,9.09,35.27,0.0717,8.60,35.71,264.6
11,0.0755,9.06,35.83,0.0717,8.60,35.86,261.3
12,0.0751,9.02,35.98,0.0721,8.65,35.52,266.8
13,0.0749,8.99,35.94,0.0726,8.72,36.00,267.0
14,0.0749,8.99,35.41,0.0810,9.72,28.49,270.1
15,0.0747,8.96,36.00,0.0693,8.31,39.26,269.9
16,0.0746,8.95,35.96,0.0697,8.37,38.15,266.7
17,0.0742,8.90,36.34,0.0741,8.89,32.51,263.1
18,0.0740,8.88,36.14,0.0701,8.41,36.96,267.9
19,0.0735,8.82,36.76,0.0672,8.07,39.14,269.0
20,0.0734,8.80,36.61,0.0669,8.02,39.71,268.8
21,0.0730,8.76,36.71,0.0672,8.06,41.27,268.6
22,0.0727,8.72,36.40,0.0667,8.00,40.36,267.2
23,0.0727,8.73,36.99,0.0654,7.85,39.99,269.5
24,0.0726,8.71,37.14,0.0656,7.88,40.42,270.8
25,0.0724,8.69,36.61,0.0687,8.24,37.02,267.0
26,0.0720,8.64,37.06,0.0646,7.76,40.53,269.7
27,0.0720,8.64,37.56,0.0827,9.93,25.99,270.7
28,0.0718,8.62,37.28,0.0646,7.76,42.40,270.7
29,0.0713,8.55,37.62,0.0639,7.67,40.84,269.4
30,0.0712,8.54,38.03,0.0640,7.68,41.10,270.8
31,0.0708,8.49,37.87,0.0688,8.26,36.31,255.5
32,0.0707,8.48,37.66,0.0623,7.47,42.26,270.6
33,0.0702,8.42,38.70,0.0615,7.38,43.17,269.0
34,0.0701,8.42,38.10,0.0630,7.56,40.99,287.9
35,0.0701,8.41,38.27,0.0651,7.81,38.83,261.8
36,0.0702,8.43,37.97,0.0617,7.41,44.53,257.3
37,0.0696,8.35,38.52,0.0667,8.00,37.02,255.3
38,0.0697,8.36,38.72,0.0632,7.58,41.44,255.2
39,0.0695,8.34,38.91,0.0692,8.30,35.01,258.3
40,0.0682,8.18,39.41,0.0616,7.39,43.34,277.9
41,0.0679,8.15,39.61,0.0602,7.23,42.94,328.0
42,0.0674,8.09,40.23,0.0590,7.08,45.95,306.6
43,0.0669,8.03,40.75,0.0607,7.29,43.45,358.8
44,0.0672,8.06,40.50,0.0601,7.21,45.69,322.7
45,0.0668,8.02,39.71,0.0588,7.05,45.15,262.1
46,0.0669,8.03,40.71,0.0600,7.20,43.68,266.2
47,0.0666,7.99,40.44,0.0569,6.83,46.83,268.9
48,0.0661,7.93,41.03,0.0589,7.07,45.44,280.1
